DATE (UTC),TIME (UTC),USER,HOSTNAME,ARTIFACT,WHAT HAPPENED,SOURCE,COMMENTS
2025-06-14,22:54:49,site\liam.sherman,acc-win10-16.site.lan,LNK Files -First Interaction,E:,KAPE - LNK Files,File Activity and File Knowledge
2025-06-14,22:54:49,site\liam.sherman,acc-win10-16.site.lan,LNK Files -First Interaction,E:\20250613_acc-win10-16_Logical.E01,KAPE - LNK Files,File Activity and File Knowledge
2025-06-14,22:54:49,site\liam.sherman,acc-win10-16.site.lan,LNK Files - Second Interaction,E:\20250613_acc-win10-16_Logical.E01,KAPE - LNK Files,File Activity and File Knowledge
2025-06-14,22:54:49,site\liam.sherman,acc-win10-16.site.lan,LNK Files - Second Interaction,E:,KAPE - LNK Files,File Activity and File Knowledge
2025-06-14,22:55:16,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\S:\Software\Elastic,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-18,13:44:33,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\E:,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-18,14:04:46,,acc-win10-16.site.lan,Prefetch,\TEMP\RAM_CAPTURE_X64\RAMCAPTURE64.EXE,KAPE - Prefetch,Evidence of Execution
2025-06-18,14:10:23,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\S:\Software\Evidence\Teaching_Scenario\ACC-Win10-13,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-18,14:10:54,,acc-win10-16.site.lan,Prefetch,\PROGRAM FILES\ACCESSDATA\FTK IMAGER\FTK IMAGER.EXE,KAPE - Prefetch,Evidence of Execution
2025-06-18,15:55:59,site\liam.sherman,acc-win10-16.site.lan,LNK Files -First Interaction,This PC\C:\temp\KAPE\gkape.settings,KAPE - LNK Files,File Activity and File Knowledge
2025-06-18,15:55:59,site\liam.sherman,acc-win10-16.site.lan,LNK Files -First Interaction,This PC\C:\temp\KAPE,KAPE - LNK Files,File Activity and File Knowledge
2025-06-18,15:55:59,site\liam.sherman,acc-win10-16.site.lan,LNK Files - Second Interaction,This PC\C:\temp\KAPE\gkape.settings,KAPE - LNK Files,File Activity and File Knowledge
2025-06-18,15:55:59,site\liam.sherman,acc-win10-16.site.lan,LNK Files - Second Interaction,This PC\C:\temp\KAPE,KAPE - LNK Files,File Activity and File Knowledge
2025-06-18,16:08:45,site\liam.sherman,acc-win10-16.site.lan,Shellbags - Last Interaction,Desktop\My Computer\S:\Software\Evidence,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-25,11:02:06,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:02:19,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:02:20,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:02:21,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:21,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:21,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:22,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:23,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:23,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:23,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:23,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:23,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:24,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:24,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:25,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:25,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:25,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:25,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:25,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:26,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:26,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:26,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:27,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:27,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:28,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:28,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:28,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:28,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:29,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:29,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:29,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:30,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:30,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:31,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:31,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:31,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:32,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:32,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:32,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:32,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:32,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:32,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:32,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:33,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:33,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:33,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:33,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:34,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:34,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:37,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:39,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:41,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:41,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:41,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:41,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:44,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:44,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:45,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:50,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:52,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:56,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:03:58,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:42,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:42,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:42,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:42,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:42,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:43,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:44,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:44,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:45,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:50,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:53,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:53,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:59,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:05:59,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:06:32,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:06:34,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:27,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:42,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:43,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:43,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:46,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:47,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:47,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:53,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:53,,acc-win10-16.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-16.site.lan Target User: Target: NT AUTHORITY\SYSTEM,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:07:59,,ACC-WIN10-16(172.16.6.116),IDS Logs,Alert: 2012888 ET INFO Http Client Body contains pwd= in cleartext Action: allowed src_ip: 172.16.6.116 59853 dest_ip: 172.16.2.8 5985 File: ,Splunk - IDS,IDS Alerts -
2025-06-25,11:08:49,,,IDS Logs,Alert: 2027237 ET RPC DCERPC SVCCTL - Remote Service Control Manager Access Action: allowed src_ip: 172.16.2.7 59704 dest_ip: 172.16.6.113 135 File: ,Splunk - IDS,IDS Alerts -
2025-06-25,11:08:49,,,IDS Logs,Alert: 2027237 ET RPC DCERPC SVCCTL - Remote Service Control Manager Access Action: allowed src_ip: 172.16.2.7 59706 dest_ip: 172.16.6.113 135 File: ,Splunk - IDS,IDS Alerts -
2025-06-25,11:08:49,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: SITE.LAN\Administrator,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:08:49,,acc-win10-13.site.lan,Windows_Logs,EventId: 4634 An account was logged off Computer: acc-win10-13.site.lan Target User: Target: site\Administrator,Splunk - Windows_Logs,Logon/Logoff Activity
2025-06-25,11:08:49,,acc-win10-13.site.lan,Windows_Logs,EventId: 4624 Successful logon Computer: acc-win10-13.site.lan Target User: Target: SITE.LAN\Administrator,Splunk - Windows_Logs,Logon/Logoff Activity
